28000001	600000001
28000002	600000002
28000003	600000003
28000004	600000004
28000005	600000005
28000006	600000006
28000007	600000007
28000008	600000008
28000009	600000009
28000010	600000010
28000011	600000011
28000012	600000012
28000013	600000013
28000014	600000014
28000015	600000015
28000016	600000016
28000017	600000017
28000018	600000018
28000019	600000019
28000020	600000020
28000001	600000041
28000002	600000042
28000003	600000043
28000004	600000044
28000005	600000045
28000006	600000046
28000007	600000047
28000008	600000048
28000009	600000049
28000010	600000050
28000011	600000051
28000012	600000052
28000013	600000053
28000014	600000054
28000015	600000055
28000016	600000056
28000017	600000057
28000018	600000058
28000019	600000059
28000020	600000060
